"","p-value","Adjusted p-value","Significant (in gene set)","Non-significant (in gene set)","Significant (not in gene set)","Non-significant (not in gene set)","fdr"
"REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS",0.0391562057697051,1,6,97,479,19450,1
"REACTOME_G_ALPHA_I_SIGNALLING_EVENTS",0.041345123113588,1,13,299,472,19248,1
"REACTOME_NEUTROPHIL_DEGRANULATION",0.0417499441993506,1,18,457,467,19090,1
"REACTOME_SHC1_EVENTS_IN_ERBB4_SIGNALING",0.0439228355159203,1,2,12,483,19535,1
"REACTOME_CS_DS_DEGRADATION",0.0439228355159203,1,2,12,483,19535,1
"REACTOME_RESPONSE_TO_METAL_IONS",0.0439228355159203,1,2,12,483,19535,1
"REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_SEVERAL_ADDITIONAL_CELL_DEATH_GENES_WHOSE_SPECIFIC_ROLES_IN_P53_DEPENDENT_APOPTOSIS_REMAIN_UNCERTAIN",0.0439228355159203,1,2,12,483,19535,1
"REACTOME_STIMULI_SENSING_CHANNELS",0.0440339074767946,1,6,100,479,19447,1
"REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES",0.0440339074767946,1,6,100,479,19447,1
"REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE",0.045007228640137,1,3,30,482,19517,1
"REACTOME_GLUCONEOGENESIS",0.045007228640137,1,3,30,482,19517,1
"REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING",0.0457404407923735,1,6,101,479,19446,1
"REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES",0.0490561792397188,1,4,53,481,19494,1
"REACTOME_ERBB2_REGULATES_CELL_MOTILITY",0.0498854332986306,1,2,13,483,19534,1
"REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX",0.0542008475675249,1,7,133,478,19414,1
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",0.0544703805240885,1,4,55,481,19492,1
"REACTOME_DETOXIFICATION_OF_REACTIVE_OXYGEN_SPECIES",0.0558873642488994,1,3,33,482,19514,1
"REACTOME_GRB2_EVENTS_IN_ERBB2_SIGNALING",0.0561197797338462,1,2,14,483,19533,1
"REACTOME_PI3K_EVENTS_IN_ERBB2_SIGNALING",0.0561197797338462,1,2,14,483,19533,1
"REACTOME_NUCLEOTIDE_LIKE_PURINERGIC_RECEPTORS",0.0561197797338462,1,2,14,483,19533,1
"REACTOME_DEFECTIVE_GALNT3_CAUSES_FAMILIAL_HYPERPHOSPHATEMIC_TUMORAL_CALCINOSIS_HFTC",0.0561197797338462,1,2,14,483,19533,1
"REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_DEATH_GENES",0.0561197797338462,1,2,14,483,19533,1
"REACTOME_GABA_RECEPTOR_ACTIVATION",0.0572938047609164,1,4,56,481,19491,1
"REACTOME_RHOH_GTPASE_CYCLE",0.0597668608306545,1,3,34,482,19513,1
"REACTOME_DEFECTIVE_C1GALT1C1_CAUSES_TN_POLYAGGLUTINATION_SYNDROME_TNPS",0.0626092808752833,1,2,15,483,19532,1
"REACTOME_IRAK4_DEFICIENCY_TLR2_4",0.0626092808752833,1,2,15,483,19532,1
"REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS",0.0630465839301431,1,7,138,478,19409,1
"REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS",0.0637691797269388,1,3,35,482,19512,1
"REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES",0.0637691797269388,1,3,35,482,19512,1
"REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES",0.0638554616799094,1,11,258,474,19289,1
"REACTOME_INTERFERON_GAMMA_SIGNALING",0.0674340691889399,1,5,85,480,19462,1
"REACTOME_HEMOSTASIS",0.0756536302536046,1,21,597,464,18950,1
"REACTOME_FOXO_MEDIATED_TRANSCRIPTION",0.0758333338864738,1,4,62,481,19485,1
"REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCAGON_LIKE_PEPTIDE_1_GLP_1",0.0834522660712231,1,2,18,483,19529,1
"REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT",0.0837523213496915,1,10,240,475,19307,1
"REACTOME_NEGATIVE_REGULATION_OF_MAPK_PATHWAY",0.0855386742155604,1,3,40,482,19507,1
"REACTOME_GABA_B_RECEPTOR_ACTIVATION",0.0855386742155604,1,3,40,482,19507,1
"REACTOME_RHOB_GTPASE_CYCLE",0.0896680354675213,1,4,66,481,19481,1
"REACTOME_ESR_MEDIATED_SIGNALING",0.0896722809755459,1,9,212,476,19335,1
"REACTOME_TRANSPORT_OF_CONNEXONS_TO_THE_PLASMA_MEMBRANE",0.0908089583601621,1,2,19,483,19528,1
"REACTOME_UNBLOCKING_OF_NMDA_RECEPTORS_GLUTAMATE_BINDING_AND_ACTIVATION",0.0908089583601621,1,2,19,483,19528,1
"REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND",0.0908089583601621,1,2,19,483,19528,1
"REACTOME_SYNAPTIC_ADHESION_LIKE_MOLECULES",0.0908089583601621,1,2,19,483,19528,1
"REACTOME_ERK_MAPK_TARGETS",0.0983470404834603,1,2,20,483,19527,1
"REACTOME_MUSCLE_CONTRACTION",0.10229570908833,1,8,187,477,19360,1
"REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS",0.103297691405879,1,12,316,473,19231,1
"REACTOME_RHOC_GTPASE_CYCLE",0.104620233791884,1,4,70,481,19477,1
"REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY",0.106053460729709,1,2,21,483,19526,1
"REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION",0.106053460729709,1,2,21,483,19526,1
"REACTOME_NUCLEOTIDE_SALVAGE",0.106053460729709,1,2,21,483,19526,1
"REACTOME_TERMINATION_OF_O_GLYCAN_BIOSYNTHESIS",0.106053460729709,1,2,21,483,19526,1
"REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS",0.108348152239803,1,11,286,474,19261,1
"REACTOME_INOSITOL_PHOSPHATE_METABOLISM",0.10999484019595,1,3,45,482,19502,1
"REACTOME_PI3K_AKT_SIGNALING_IN_CANCER",0.111534746066983,1,5,100,480,19447,1
"REACTOME_TRIGLYCERIDE_CATABOLISM",0.113915690725642,1,2,22,483,19525,1
"REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE",0.113915690725642,1,2,22,483,19525,1
"REACTOME_XENOBIOTICS",0.113915690725642,1,2,22,483,19525,1
"REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS",0.114876371739765,1,5,101,480,19446,1
"REACTOME_NGF_INDEPENDANT_TRKA_ACTIVATION",0.115345630142961,1,1,4,484,19543,1
"REACTOME_NOSTRIN_MEDIATED_ENOS_TRAFFICKING",0.115345630142961,1,1,4,484,19543,1
"REACTOME_HYALURONAN_BIOSYNTHESIS_AND_EXPORT",0.115345630142961,1,1,4,484,19543,1
"REACTOME_SODIUM_COUPLED_PHOSPHATE_COTRANSPORTERS",0.115345630142961,1,1,4,484,19543,1
"REACTOME_FREE_FATTY_ACID_RECEPTORS",0.115345630142961,1,1,4,484,19543,1
"REACTOME_ATTACHMENT_AND_ENTRY",0.115345630142961,1,1,4,484,19543,1
"REACTOME_SIGNALING_BY_ERBB2",0.120450068052156,1,3,47,482,19500,1
"REACTOME_SIGNALING_BY_EGFR",0.120450068052156,1,3,47,482,19500,1
"REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER",0.120624353769489,1,4,74,481,19473,1
"REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS",0.121921707832048,1,2,23,483,19524,1
"REACTOME_BASIGIN_INTERACTIONS",0.121921707832048,1,2,23,483,19524,1
"REACTOME_SIGNALING_BY_GPCR",0.122316610141868,1,22,673,463,18874,1
"REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION",0.125809996255748,1,3,48,482,19499,1
"REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION",0.125898384331691,1,8,197,477,19350,1
"REACTOME_SIGNALING_BY_ERBB2_IN_CANCER",0.130059978082537,1,2,24,483,19523,1
"REACTOME_SYNTHESIS_OF_IP3_AND_IP4_IN_THE_CYTOSOL",0.130059978082537,1,2,24,483,19523,1
"REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING",0.130059978082537,1,2,24,483,19523,1
"REACTOME_MISCELLANEOUS_TRANSPORT_AND_BINDING_EVENTS",0.130059978082537,1,2,24,483,19523,1
"REACTOME_DECTIN_2_FAMILY",0.130059978082537,1,2,24,483,19523,1
"REACTOME_APOPTOTIC_EXECUTION_PHASE",0.131254122504392,1,3,49,482,19498,1
"REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK",0.135899987313665,1,5,107,480,19440,1
"REACTOME_FIBRONECTIN_MATRIX_FORMATION",0.136769576284703,1,1,5,484,19542,1
"REACTOME_ACTIVATION_OF_TRKA_RECEPTORS",0.136769576284703,1,1,5,484,19542,1
"REACTOME_SCAVENGING_BY_CLASS_B_RECEPTORS",0.136769576284703,1,1,5,484,19542,1
"REACTOME_SYNTHESIS_OF_DOLICHYL_PHOSPHATE",0.136769576284703,1,1,5,484,19542,1
"REACTOME_UPTAKE_AND_FUNCTION_OF_DIPHTHERIA_TOXIN",0.136769576284703,1,1,5,484,19542,1
"REACTOME_PROTEIN_REPAIR",0.136769576284703,1,1,5,484,19542,1
"REACTOME_CHOLINE_CATABOLISM",0.136769576284703,1,1,5,484,19542,1
"REACTOME_PTK6_REGULATES_CELL_CYCLE",0.136769576284703,1,1,5,484,19542,1
"REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS",0.138319439649282,1,2,25,483,19522,1
"REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_GENE_EXPRESSION",0.138319439649282,1,2,25,483,19522,1
"REACTOME_ENDOGENOUS_STEROLS",0.138319439649282,1,2,25,483,19522,1
"REACTOME_SIGNALING_BY_BMP",0.146689486820301,1,2,26,483,19521,1
"REACTOME_TRP_CHANNELS",0.146689486820301,1,2,26,483,19521,1
"REACTOME_EGR2_AND_SOX10_MEDIATED_INITIATION_OF_SCHWANN_CELL_MYELINATION",0.146689486820301,1,2,26,483,19521,1
"REACTOME_GPCR_LIGAND_BINDING",0.150926181098394,1,15,445,470,19102,1
"REACTOME_NEUREXINS_AND_NEUROLIGINS",0.153812145161627,1,3,53,482,19494,1
"REACTOME_UPTAKE_AND_ACTIONS_OF_BACTERIAL_TOXINS",0.155159954473276,1,2,27,483,19520,1
"REACTOME_DOWNREGULATION_OF_ERBB2_SIGNALING",0.155159954473276,1,2,27,483,19520,1
"REACTOME_ION_CHANNEL_TRANSPORT",0.15682916928107,1,7,176,478,19371,1
"REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN",0.157675736052102,1,1,6,484,19541,1
"REACTOME_SIGNALING_BY_MAPK_MUTANTS",0.157675736052102,1,1,6,484,19541,1
"REACTOME_DEFECTIVE_FACTOR_VIII_CAUSES_HEMOPHILIA_A",0.157675736052102,1,1,6,484,19541,1
"REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES",0.160085820260754,1,4,83,481,19464,1
"REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA",0.162397417142204,1,5,114,480,19433,1
"REACTOME_LAMININ_INTERACTIONS",0.163721103031342,1,2,28,483,19519,1
"REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES",0.163721103031342,1,2,28,483,19519,1
"REACTOME_DISEASES_OF_IMMUNE_SYSTEM",0.163721103031342,1,2,28,483,19519,1
"REACTOME_MET_ACTIVATES_PTK2_SIGNALING",0.163721103031342,1,2,28,483,19519,1
"REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS",0.172363603886682,1,2,29,483,19518,1
"REACTOME_DISASSEMBLY_OF_THE_DESTRUCTION_COMPLEX_AND_RECRUITMENT_OF_AXIN_TO_THE_MEMBRANE",0.172363603886682,1,2,29,483,19518,1
"REACTOME_CROSS_PRESENTATION_OF_PARTICULATE_EXOGENOUS_ANTIGENS_PHAGOSOMES",0.178076598374934,1,1,7,484,19540,1
"REACTOME_LINOLEIC_ACID_LA_METABOLISM",0.178076598374934,1,1,7,484,19540,1
"REACTOME_METABOLISM_OF_INGESTED_SEMET_SEC_MESEC_INTO_H2SE",0.178076598374934,1,1,7,484,19540,1
"REACTOME_DEFECTIVE_CHST3_CAUSES_SEDCJD",0.178076598374934,1,1,7,484,19540,1
"REACTOME_DEFECTIVE_CHST14_CAUSES_EDS_MUSCULOCONTRACTURAL_TYPE",0.178076598374934,1,1,7,484,19540,1
"REACTOME_DEFECTIVE_CHSY1_CAUSES_TPBS",0.178076598374934,1,1,7,484,19540,1
"REACTOME_BINDING_OF_TCF_LEF_CTNNB1_TO_TARGET_GENE_PROMOTERS",0.178076598374934,1,1,7,484,19540,1
"REACTOME_FORMYL_PEPTIDE_RECEPTORS_BIND_FORMYL_PEPTIDES_AND_MANY_OTHER_LIGANDS",0.178076598374934,1,1,7,484,19540,1
"REACTOME_HUR_ELAVL1_BINDS_AND_STABILIZES_MRNA",0.178076598374934,1,1,7,484,19540,1
"REACTOME_HISTIDINE_CATABOLISM",0.178076598374934,1,1,7,484,19540,1
"REACTOME_TRANSPORT_OF_FATTY_ACIDS",0.178076598374934,1,1,7,484,19540,1
"REACTOME_RUNX2_REGULATES_GENES_INVOLVED_IN_CELL_MIGRATION",0.178076598374934,1,1,7,484,19540,1
"REACTOME_RUNX3_REGULATES_YAP1_MEDIATED_TRANSCRIPTION",0.178076598374934,1,1,7,484,19540,1
"REACTOME_NUCLEAR_SIGNALING_BY_ERBB4",0.181078525278163,1,2,30,483,19517,1
"REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES",0.181078525278163,1,2,30,483,19517,1
"REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS",0.181078525278163,1,2,30,483,19517,1
"REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS",0.181078525278163,1,2,30,483,19517,1
"REACTOME_PLASMA_LIPOPROTEIN_REMODELING",0.181078525278163,1,2,30,483,19517,1
"REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES",0.183542147052892,1,3,58,482,19489,1
"REACTOME_KINESINS",0.183542147052892,1,3,58,482,19489,1
"REACTOME_CA2_PATHWAY",0.189662700949498,1,3,59,482,19488,1
"REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS",0.189662700949498,1,3,59,482,19488,1
"REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES",0.189857318609648,1,2,31,483,19516,1
"REACTOME_ONCOGENE_INDUCED_SENESCENCE",0.189857318609648,1,2,31,483,19516,1
"REACTOME_SIGNAL_AMPLIFICATION",0.189857318609648,1,2,31,483,19516,1
"REACTOME_SIALIC_ACID_METABOLISM",0.189857318609648,1,2,31,483,19516,1
"REACTOME_CARGO_CONCENTRATION_IN_THE_ER",0.189857318609648,1,2,31,483,19516,1
"REACTOME_INNATE_IMMUNE_SYSTEM",0.191923111145478,1,30,1016,455,18531,1
"REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS",0.195245023304671,1,7,188,478,19359,1
"REACTOME_NEURONAL_SYSTEM",0.197108638307447,1,13,397,472,19150,1
"REACTOME_ACTIVATION_OF_PUMA_AND_TRANSLOCATION_TO_MITOCHONDRIA",0.19798435156052,1,1,8,484,19539,1
"REACTOME_EGFR_TRANSACTIVATION_BY_GASTRIN",0.19798435156052,1,1,8,484,19539,1
"REACTOME_BETA_OXIDATION_OF_PRISTANOYL_COA",0.19798435156052,1,1,8,484,19539,1
"REACTOME_OAS_ANTIVIRAL_RESPONSE",0.19798435156052,1,1,8,484,19539,1
"REACTOME_ROBO_RECEPTORS_BIND_AKAP5",0.19798435156052,1,1,8,484,19539,1
"REACTOME_INWARDLY_RECTIFYING_K_CHANNELS",0.207574163424097,1,2,33,483,19514,1
"REACTOME_NEUROTRANSMITTER_CLEARANCE",0.217410890515379,1,1,9,484,19538,1
"REACTOME_NEUROTOXICITY_OF_CLOSTRIDIUM_TOXINS",0.217410890515379,1,1,9,484,19538,1
"REACTOME_VITAMIN_D_CALCIFEROL_METABOLISM",0.217410890515379,1,1,9,484,19538,1
"REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_NUCLEUS",0.217410890515379,1,1,9,484,19538,1
"REACTOME_THYROXINE_BIOSYNTHESIS",0.217410890515379,1,1,9,484,19538,1
"REACTOME_REGULATION_OF_COMMISSURAL_AXON_PATHFINDING_BY_SLIT_AND_ROBO",0.217410890515379,1,1,9,484,19538,1
"REACTOME_IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS",0.217410890515379,1,1,9,484,19538,1
"REACTOME_ORGANIC_CATION_TRANSPORT",0.217410890515379,1,1,9,484,19538,1
"REACTOME_DISEASES_ASSOCIATED_WITH_SURFACTANT_METABOLISM",0.217410890515379,1,1,9,484,19538,1
"REACTOME_KETONE_BODY_METABOLISM",0.217410890515379,1,1,9,484,19538,1
"REACTOME_RUNX3_REGULATES_P14_ARF",0.217410890515379,1,1,9,484,19538,1
"REACTOME_HDL_REMODELING",0.217410890515379,1,1,9,484,19538,1
"REACTOME_REGULATION_OF_FOXO_TRANSCRIPTIONAL_ACTIVITY_BY_ACETYLATION",0.217410890515379,1,1,9,484,19538,1
"REACTOME_DISEASES_ASSOCIATED_WITH_O_GLYCOSYLATION_OF_PROTEINS",0.220979101648988,1,3,64,482,19483,1
"REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE",0.229035517095602,1,4,97,481,19450,1
"REACTOME_TRANSPORT_OF_SMALL_MOLECULES",0.232526589150326,1,21,706,464,18841,1
"REACTOME_SIGNALING_BY_TGFB_FAMILY_MEMBERS",0.234228810411933,1,4,98,481,19449,1
"REACTOME_GAP_JUNCTION_ASSEMBLY",0.234435349474082,1,2,36,483,19511,1
"REACTOME_TRIGLYCERIDE_METABOLISM",0.234435349474082,1,2,36,483,19511,1
"REACTOME_DIGESTION_OF_DIETARY_CARBOHYDRATE",0.236367823793775,1,1,10,484,19537,1
"REACTOME_ANDROGEN_BIOSYNTHESIS",0.236367823793775,1,1,10,484,19537,1
"REACTOME_DERMATAN_SULFATE_BIOSYNTHESIS",0.236367823793775,1,1,10,484,19537,1
"REACTOME_ENOS_ACTIVATION",0.236367823793775,1,1,10,484,19537,1
"REACTOME_MUCOPOLYSACCHARIDOSES",0.236367823793775,1,1,10,484,19537,1
"REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS",0.236367823793775,1,1,10,484,19537,1
"REACTOME_FREE_FATTY_ACIDS_REGULATE_INSULIN_SECRETION",0.236367823793775,1,1,10,484,19537,1
"REACTOME_SODIUM_CALCIUM_EXCHANGERS",0.236367823793775,1,1,10,484,19537,1
"REACTOME_TYPE_I_HEMIDESMOSOME_ASSEMBLY",0.236367823793775,1,1,10,484,19537,1
"REACTOME_METALLOTHIONEINS_BIND_METALS",0.236367823793775,1,1,10,484,19537,1
"REACTOME_CREATINE_METABOLISM",0.236367823793775,1,1,10,484,19537,1
"REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING",0.254866480477258,1,1,11,484,19536,1
"REACTOME_GAP_JUNCTION_DEGRADATION",0.254866480477258,1,1,11,484,19536,1
"REACTOME_FCGR_ACTIVATION",0.254866480477258,1,1,11,484,19536,1
"REACTOME_P2Y_RECEPTORS",0.254866480477258,1,1,11,484,19536,1
"REACTOME_REDUCTION_OF_CYTOSOLIC_CA_LEVELS",0.254866480477258,1,1,11,484,19536,1
"REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CASPASE_ACTIVATORS_AND_CASPASES",0.254866480477258,1,1,11,484,19536,1
"REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_DEATH_RECEPTORS_AND_LIGANDS",0.254866480477258,1,1,11,484,19536,1
"REACTOME_ETHANOL_OXIDATION",0.254866480477258,1,1,11,484,19536,1
"REACTOME_PYRIMIDINE_CATABOLISM",0.254866480477258,1,1,11,484,19536,1
"REACTOME_TRANSPORT_OF_ORGANIC_ANIONS",0.254866480477258,1,1,11,484,19536,1
"REACTOME_REGULATION_OF_LOCALIZATION_OF_FOXO_TRANSCRIPTION_FACTORS",0.254866480477258,1,1,11,484,19536,1
"REACTOME_KILLING_MECHANISMS",0.254866480477258,1,1,11,484,19536,1
"REACTOME_DISEASES_OF_GLYCOSYLATION",0.261200996526386,1,5,137,480,19410,1
"REACTOME_MET_PROMOTES_CELL_MOTILITY",0.261477544814466,1,2,39,483,19508,1
"REACTOME_KERATINIZATION",0.266255818543755,1,7,208,478,19339,1
"REACTOME_SIGNALING_BY_NOTCH1",0.266320383441217,1,3,71,482,19476,1
"REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS",0.270503477938399,1,2,40,483,19507,1
"REACTOME_EPHB_MEDIATED_FORWARD_SIGNALING",0.270503477938399,1,2,40,483,19507,1
"REACTOME_NCAM1_INTERACTIONS",0.270503477938399,1,2,40,483,19507,1
"REACTOME_RHOF_GTPASE_CYCLE",0.270503477938399,1,2,40,483,19507,1
"REACTOME_RND3_GTPASE_CYCLE",0.270503477938399,1,2,40,483,19507,1
"REACTOME_SIGNALING_BY_ACTIVIN",0.272917916889273,1,1,12,484,19535,1
"REACTOME_ALPHA_LINOLENIC_OMEGA3_AND_LINOLEIC_OMEGA6_ACID_METABOLISM",0.272917916889273,1,1,12,484,19535,1
"REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA",0.272917916889273,1,1,12,484,19535,1
"REACTOME_RETINOID_CYCLE_DISEASE_EVENTS",0.272917916889273,1,1,12,484,19535,1
